Theme,Definition
Dépeçage,"Dépeçage is a private international law concept that refers to the process of applying different legal systems or laws to different issues within the same legal relationship. Instead of applying a single jurisdiction’s laws to all aspects of a case, dépeçage allows dissecting the case and applying different laws to different parts of it, based on the most relevant connections those parts have to particular legal systems.  Dépeçage enables the resolution of legal issues by engaging in a choice-of-law analysis on an issue-by-issue basis, but bears the risk of inconsistencies among the various legal systems applied. "
Express choice,"An “express choice” of law is a clear and explicit choice of law stated by the parties, typically in contractual provisions. It reflects the principle of party autonomy, acknowledging that parties are best positioned to select the legal system most suitable for their transaction. This express choice is widely recognized across various international, supranational, and national legal frameworks, albeit within certain limits, such as those imposed by public policy and overriding mandatory rules."
Conventions (hard law),"Hard law refers generally to legal obligations that are binding on the parties involved and which can be legally enforced before a court. If States sign an (international) Convention, they are, in general, obliged to directly apply or incorporate it into their domestic law. "
Incorporate rules by way of reference,"Incorporating rules by way of reference in an international commercial contract means that the parties explicitly agree to be bound by certain rules or laws that are not detailed in the contract itself but are referenced within it. This allows for the inclusion of comprehensive legal frameworks, industry standards, or technical specifications without the need to spell out all the details in the contract, simplifying the document while ensuring that the referenced rules are legally binding. For example, a contract might state that it is governed by “INCOTERMS” (a set of commercial/trade rules established by the International Chamber of Commerce) without reproducing those rules in the contract. These rules become part of the contractual terms agreed between the parties. As per the HCCH Principles, incorporation by reference is different from allowing parties to choose “rules of law” as the law applicable to their contract."
Public policy,"Public policy, in the context of private international law, typically refers to a nation's core legal principles that protect fundamental values and interests, which can override the application of foreign laws or judgments that contravene these principles."
Connection,"""Connection"" is a link or relationship between a legal issue and a particular jurisdiction or legal system in the context of private international law. 
"
Refer to an instrument,"When judges ""refer to an instrument"" in a legal context, it typically means that they are citing or making reference to a specific legal document or authoritative text in their legal reasoning, decision-making process, or written judgment. This could be a statute, a treaty, a judicial decision, a soft law document (e.g., guidelines or principles), or any other authoritative legal text. The judge then analyzes the content of the instrument by interpreting its provisions, understanding its context, and determining how it applies to the specific facts and legal issues of the case. This may involve drawing analogies, noting differences, or using the instrument to clarify or fill gaps in existing law. The judge uses the instrument to support the legal reasoning, and the reference to the instrument may be documented in the judge’s written opinion or judgment. "
Weaker (vulnerable) parties,"Rules of law (also known as 'non-government rules' or 'non-state law'). This term refers to legal norms that are not created by a national government or state. Examples include religious law, tribal law and customary practices recognised and applied by courts or arbitration tribunals."
International (commercial) contracts,"According to the HCCH Principles, a contract is international unless each party has its establishment in the same State and the relationship of the parties and all other relevant elements, regardless of the chosen law, are connected only with that State. These relevant elements may be, for example, the place of conclusion of the contract, the place of performance, a party’s nationality, and a party’s place of incorporation or establishment.A contract is regarded as commercial when each party is acting in the exercise of its trade or profession. E.g., consumer or employment contracts are not commercial contracts."
Mandatory rules,"Overriding mandatory rules can be defined as mandatory rules that are crucial for the countries’ economic, social and political purposes, and their application is required for the disputes within their scope in order to implement the previously mentioned purposes. There are three categories of overriding mandatory rules: overriding mandatory rules pertaining to lex fori; overriding mandatory rules pertaining to lex causae; and finally, overriding mandatory rules of a third country. Overriding mandatory rules take precedent over rules chosen by the parties and therefore supersede them."
