Case Citation;Jurisdictions;Abstract;Relevant Facts;PIL Provisions;Themes;Choice of Law Issue;Court's Position
Federal Court, 29.06.2010 - BGE 136 III 392;Switzerland;"Requirements under Art. 19 PILA for the consideration of a provision of foreign law despite a choice of law in favor of Swiss law.
";A welder of a Swiss company worked on submarine pipelines on a boat with the Panamian flag. The worker had a dispute with his Swiss employer about a redundancy payment. The worker invoked Panamian law before the Swiss court, even though the employment contract was subject to Swiss law (choice of law). The court dealt with the question of what the requirements under Art. 19 PILA are for the consideration of a provision of foreign law despite a choice of law in favor of Swiss law.;Art. 19 PILA;Overriding mandatory rules;What are the requirements for Swiss courts to apply Art. 19 PILA as a overriding mandatory provision in favor of a foreign law?;The application of Art. 19 PILA is only legitimate under exceptional circumstances. It may be taken into consideration when a mandatory provision of a law other than that designated by the PILA seems more suitable to a situation due to legitimate and preponderant overriding interests with regard to the Swiss conception of law. Also there must be a close connection between the situation in question and the foreign law. If a foreign provision is to be taken into consideration, the aim of the provision and the consequences of its application must be taken into account, in order to arrive at a decision that is adequate in terms of the Swiss conception of law. It is up to the judge to examine whether the connection between the case and the law of the third country are sufficiently important to justify the consideration of the foreign mandatory provision. The judges assessment will be based on the fundamental values of the Swiss legal system, however it is not necessary for Swiss law to have similar peremptory norms. It is sufficient that the aim pursued by the foreign provision is in line with the Swiss concept of law.
Federal Court, 19.01.2001 - BGer 4C.54/2000;Switzerland;Tacit Choice of Law Agreement: The law applicable to a contract may be impliedly agreed by the parties. This can be inferred if the parties were aware that the question of the applicable law had arisen and their actions, whether express or conclusive, are objectively clear enough to be interpreted as an agreement to apply a particular law to the contract.;In this case, the question is whether it can be inferred from certain objective elements that the parties have tacitly agreed on the application of a particular law to the contract. The subject matter of the contract was the importation by a company based in Italy of certain materials and their installation in a property located in Switzerland (the owner was domiciled in Switzerland). The court concluded that in this case the parties had implicitly agreed to the application of Swiss law to the contract. The court based its decision on the following elements: the contract was concluded in Switzerland, it was written in French, the currency of payment was the Swiss franc, the place of performance was Switzerland, a Swiss canton was agreed as the competent court, and the parties referred to Swiss law. The fact that another contract concluded by the same parties was subject to Swiss law was also taken into consideration by the court due to the link between both contracts.   ;Art. 116 PILA;Party autonomy, Tacit choice;Is an express agreement on the applicable law necessary for a choice of law agreement to be valid? Can a choice of law be made tacitly? If so, what elements, for example, could the court take into account to assume the existence of an implied choice of law?;The law applicable to a contract may be impliedly agreed by the parties. An tacit choice of law agreement may be inferred if the parties were aware that the question of the applicable law had arisen and their acts, whether express or conclusive, are objectively clear enough to be interpreted as an agreement to apply a particular law to the contract. By way of example, the following elements may be taken into account by the court in determining the existence of a choice of law agreement: place of conclusion, language of the contract, currency of payment, existence of a choice of court agreement, law applicable to previous contacts between the parties, and references to the laws of a particular country.  If all these elements point to a certain country, a tacit agreement could be assumed.  
Federal Court, 25.04.2002 - BGer 5C.68/2002;Switzerland;According to Art. 116 Federal Act on Private International Law (PILA), the parties are free to choose the law applicable to the contract. This freedom of choice can also be exercised in the context of a guarantee agreement: the law chosen by the creditor of a debt and the guarantor of that debt governs the relationship between them. However, questions relating to the inclusion of the guarantee in insolvency proceedings are governed by the law applicable to those proceedings. This law also governs the question of whether a fraudulent contract entered into by the debtor can be challenged under the Act on Debt Enforcement and Bankruptcy.;In the present case, the Court was asked, on the one hand, to determine the law applicable to a guarantee agreement entered into by a company in bankruptcy proceedings for the benefit of a subsidiary. On the other hand, the court also had to determine the law applicable to the question of whether such a guarantee could be included in the bankruptcy proceedings, as well as the order of priority corresponding to the guarantee assumed by the company. The Supreme Court ruled that the law chosen by the creditor and the guarantor in the guarantee contract governs the terms of the internal relationship (in this case, Austrian law). Issues related to the inclusion of the debt in bankruptcy proceedings are governed by the law applicable to bankruptcy proceedings (in this case, Swiss law).;"Art. 116 PILA,
Art. 285 SchKG";Party autonomy, Freedom of choice, Partial choice,Party autonomy, Freedom of choice, Dépeçage;Is a choice of law clause relating to the terms of a guarantee agreement valid? If so, can the choice of law clause affect issues relating to the inclusion of the debt guaranteed by the contract in insolvency proceedings?;Creditor and guarantor are free to determine the law applicable to their legal relationship. The effects of this agreement extend to the internal relationship between them. Issue related to the inclusion of a debt in an insolvency proceeding against the guarantor are however governed by the lay applicable to insolvent proceeding. 
Federal Court, 03.07.1985 - BGE 111 II 175 ;Switzerland;"1) An unconditional admission of the legal dispute within the meaning of Art. 2 No. 3 of the Agreement between the Swiss Confederation and the German Reich on the Mutual Recognition and Enforcement of Judgments and Arbitral Awards cannot be inferred from the fact that the foreign judgment was not referred to a higher court (E. 1).
(2) Swiss public policy does not require any special protection for a guarantor resident in Switzerland who concludes a contract of suretyship with international implications and subjects it - possibly only implicitly - to a foreign legal system. This means in particular that such a surety agreement must be recognized by the Swiss judge in enforcement proceedings, even if the formal requirements of Swiss law have not been observed (E. 3).";"Raiffeisenbank Schefflenztal GmbH sued Ulrich Nietzke, for a claim of CHF 10,922.25 plus interest and collection costs. The claim was based on a judgment issued by the Karlsruhe District Court, which ruled on the validity of a guarantee obligation entered into by Ulrich Nietzke. Ulrich Nietzke defended himself against the debt collection proceedings with a timely legal proposal.
Raiffeisenbank Schefflenztal GmbH then filed a request for the opening of legal proceedings with the District Court of Lenzburg, which was rejected. 
Raiffeisenbank Schefflenztal GmbH lodged an appeal against this decision with the High Court of the Canton of Aargau. The court upheld the appeal and granted Raiffeisenbank Schefflenztal GmbH definitive legal opening for the claim amount of CHF 10,387.50 plus 12% interest.
Ulrich Nietzke appealed against to the Federal Supreme Court under constitutional law. The court dismissed the appeal.";According to the case law of the Federal Supreme Court, a choice of the applicable substantive law can also be made tacitly. Recent case law considers a jurisdiction agreement to be merely an indication of the application of the lex fori and requires that the other circumstances of the individual case, especially the parties intentions, also be taken into account when determining the applicable law. ;Party autonomy, Freedom of choice;Is it possible for a resident in Switzerland to conclude a contractual agreement in Switzerland and thereby implicitly - for example, by choosing a foreign place of jurisdiction - choose that foreign law?;The fact that such a choice of the applicable substantive law can also be made tacitly is recognized by the case law of the Federal Supreme Court. According to this case law, it is initially sufficient - in the sense of a presumption of fact regarding the will of the parties - that the parties have agreed on a place of jurisdiction. More recent case law, on the other hand, considers the jurisdiction agreement to be merely an indication of the application of the lex fori and requires that the other circumstances of the individual case also be taken into account when determining the applicable law. 
Federal Court, 13.03.1985 - BGE 111 IA 12;Switzerland;"Art. 4 Federal Constitution of the Swiss Confederation; arbitrary application of cantonal law in proceedings concerning the enforcement of a foreign judgment.
It is arbitrary to presume the lawful service of a judgment abroad without providing evidence if, in particular, compliance with Swiss public policy, which is expressly reserved by cantonal law, depends on it.";In the present case, the appellant seeks to challenge the enforcement of a foreign judgment. He claims that he was not duly notified of the final foreign judgment, which prevented him from challenging it before the foreign court within the period prescribed by foreign law. In his opinion, the lack of notification violated Swiss public policy by not allowing him to defend himself in accordance with the rules of due process. The court upheld the appellant's appeal. It also confirmed that, the burden of proof for proper notification does not lie with the appellant, but with the person seeking to enforce the foreign judgment in Switzerland.;Art. 507 Vaud Code of Civil Procedure (repealed);Public policy;Can issues such as lack of proper notification prevent the enforcement of a foreign judgment? Could the lack of proper service contravene domestic public policy? Who bears the burden of proving proper notification?;The lack of adequate notification of a foreign judgment may impede the enforcement of decisions in Switzerland. This could occur if it precludes the filing of procedural remedies or if it hinders the fulfillment of procedural deadlines. The burden of proof for proper notification lies with the person seeking to enforce the foreign judgment in Switzerland. 
Federal Court, 07.05.2001 - BGer 4C.32/2001;Switzerland;"Taking into consideration of mandatory provisions of foreign law: In the present case, the court must decide whether overriding mandatory rules of a legal system other than the one chosen in a choice of law agreement should be taken into account when deciding on the validity of certain clauses of the contract. Swiss law was agreed to be the applicable law. However, the contract concerned the activities of a company in three European Union countries (the Netherlands, Belgium, and Luxembourg). 

The court considered it appropriate to also examine the validity of the contract under Swiss law and EU competition law, as the contract related to EU member states. A mandatory provision of a law other than the law chosen by the parties may be taken into account if the situation dealt with has a close connection with that other law (Art. 19 PIL). The content of the foreign law - including overriding mandatory rules - is determined by the authorities on their own initiative (Art. 16 PIL). The parties should, however, give reasons for considering the application of further foreign mandatory rules to the case if they consider them relevant to the case.";"This case concerns the unenforceability of two clauses in a contract governed by Swiss law (an exclusive distribution clause and a non-competition clause). The contract concerned the activities of a company in three countries of the European Union (the Netherlands, Belgium, and Luxembourg). It was argued that such clauses are invalid under the national law of the countries directly involved in the case. The court then had to decide whether the mandatory rules of a legal system other than that chosen by the parties should be applied to the case. 
The Swiss Federal Supreme Court dismissed the appeal. Since the clauses were valid under both Swiss and European competition law, they were considered enforceable.  ";"Art. 16 PILA,
Art. 19 PILA";Overriding mandatory rules;Should overriding mandatory rules of a legal system other than the one chosen in a choice of law agreement be considered when deciding on the validity of certain clauses of the contract? If the contract involves more than one country, which overriding mandatory rules should be taken into account?;A mandatory provision of a law other than the one chosen by the parties may be taken into consideration, provided the situation dealt with has a close connection with that other law. If the contract involves several countries to which a supranational law applies (for example, an EU regulation), these rules may also be taken into account when determining the application of mandatory overriding rules.
Federal Court, 23.11.2022- BGE 4A_120/2022;Switzerland;In the context of a contract entered into by parent companies in which their subsidiaries assume certain obligations, the question arises as to the extent to which choice of forum clauses bind the subsidiaries. In order to determine contractual liability, the Supreme Court must determine, among other things, the law applicable to the choice of forum clause and its effect on the beneficiaries of the contract. In this case, the court concludes that any claim by the subsidiaries should be brought only in the forum chosen by the parent companies in the contract. In subsequent contracts, however, the subsidiaries may agree that disputes over new obligations will be litigated in a different forum. ;"The present dispute involves a number of companies and their respective subsidiaries and sub-subsidiaries. On the one hand, C AG and its subsidiary A AG (plaintiff). On the other hand, B AG with its subsidiary B Holding and its sub-subsidiary D GmbH (all defendants in the case). 

According to the facts, C AG and B Holding agree in a Master Framework Agreement (""MSA"") that the latter will standardize and automate a number of IT processes. It is also agreed in this contract that B Inc. will provide a parental guarantee (referred to as Parental Guarantee 2) in favor of C AG and its subsidiaries. In connection with the guarantee, it is agreed that German law shall apply and that Germany shall be the place of jurisdiction for any disputes. The agreement (MSA) also provides that the parties may enter into Local Service Agreements (hereinafter referred to as LSAs) with the subsidiaries. On this basis, a Local Service Agreement (LSA) is concluded between A AG and D GmbH, in which a new parental guarantee (Parental Agreement 1) by B Holding in favor of A AG is also agreed. It is agreed that Swiss law will apply and that a Swiss court will be competent to resolve disputes between the parties. Subsequently, A AG sues for breach of both parenting agreements. 

The Federal Supreme Court (FSC) upholds the plaintiffs' claim only with respect to liability under the parenting agreement contained in the LSE. With respect to the liability contained in the MSA, the Court held that it did not have jurisdiction to rule on that claim. According to the Court, the Lugano Convention applies to determine the enforceability of a choice of forum agreement. However, the Lugano Convention does not regulate whether a choice of court agreement applies to third parties (in this case, the subsidiaries). In order to fill this gap and to determine the answer to this question, the Swiss court should also apply national law. Under Swiss law, choice of court agreements are governed by the law applicable to the main contract. Since German law was chosen, it should determine whether and to what extent the choice of court agreement binds third parties.
According to German commentators, the most widely accepted interpretation is that in a contract for the benefit of third parties, the principal parties grant rights to the third parties only in accordance with the terms of the contract. Any claims should also be brought only in the forum chosen by the parties in the contract. Since a German court has been chosen as the competent court, the favored third party must then bring the claim before the German court. ";"Art. 116 PILA
Art. 23 LugÜ";;"Does the Lugano Convention regulate whether choice-of-court agreements (included in a contract for the benefit of the parties) bind third parties? 
What law governs the enforceability of choice of forum clauses in cases where the Lugano Convention does not apply? 
To what extent should a forum selection clause contained in a contract for the benefit of third parties be binding on them?";"The Lugano Convention does not regulate whether choice of forum clauses (included in a contract for the benefit of third parties) bind third parties. National law should be applied to fill this gap. 

Under Swiss law, the law governing the main contract applies to determine the enforceability and scope of choice of forum clauses. If German law is chosen as the law governing the main contract, that law should also govern the enforceability of the choice of forum clauses contained therein.

In the present case, the law governing the main contract was German law. According to the most widely accepted interpretation in this country, third party claims should be brought in the court chosen in the main contract. Swiss courts therefore have no jurisdiction in this case. "
Federal Court, 03.03.1993 - BGE 119 II 264 ;Switzerland;"Recognition of a marriage contracted abroad (Art. 45 PILA; Art. 54 FC; Art. 8 and 12 ECHR).
A marriage between persons of the same sex violates Swiss public policy and may therefore not be recognized (E. 3); non-recognition does not violate Art. 54 FC or Art. 8 or 12 ECHR (E. 4 and 5).
Procedure for the legal enforcement of medically performed gender reassignment.
The entry of the gender change in the civil status register requires that the person concerned has had the new gender determined by the judge by means of a status action (E. 6). In the case of international intermarriage, Art. 33 para. 1 PILA applies (E. 7).";"A. Y., who is domiciled in Switzerland, and B. X. from Brazil got married in Copenhagen (Denmark). It became known, that the person who had appeared as the bride had been born in Brazil as a male and had a different name. The person had undergone gender reassignment surgery. However, the civil status register was not changed accordingly. At the wedding ceremony, the person appearing as the bride identified herself with a passport in the name of B. X.
In a petition B. X. applied to the Department of Home Affairs of A. Y.'s home canton as the supervisory authority for civil status matters, requesting that the marriage concluded in Copenhagen be recognized and that the civil status office of the home municipality be instructed to make the corresponding entry in the register.
The Department ordered that the marriage not be recognized and that the requested entry in the register be refused.
B. X. lodged an administrative appeal with the Federal Supreme Court, requesting that the order of the Department be set aside and that the application submitted be granted.
The cantonal Department of Home Affairs requested that the appeal be dismissed. The Federal Department of Justice and Police (Federal Office of Justice) stated that it essentially agrees with the legal opinion of the cantonal authority.
The Swiss supreme court dismissed the appeal but instructed B. X. that it could file a claim for a determination of a new civil status (gender) with the responsible cantonal authority.";Art. 27 PILA;Public policy;Can a foreign decision that contradicts Swiss public policy be recognized?;"There is a violation of public policy if fundamental legal principles are violated and the act in question is completely incompatible with Swiss law and values. Under such circumstances a foreign decision will not be recognized in Switzerland.
According to Swiss legal understanding, marriage is the sexual union of a man and a woman, in other words of two people of different biological sexes and the institution of marriage understood in this way is subject to the public policy clause."
Federal Court, 30.03.1976 - BGE 102 II 143 ;Switzerland;"Private international law: Contract for the purchase of land abroad.
1. general requirement for the choice of law. Interpretation of an agreement to subject the preliminary contract for the purchase of land in Spain to Swiss law (Rec. 1).
2. limitations of the choice of law regarding the form of the contract. The location of the property as an alternative connecting factor (Rec. 2).
3. application of the formal requirements of Spanish law; legal consequences (Rec. 3).";A Swiss resident, entered into a preliminary purchase agreement with a Spanish company, for the purchase of real estate in Spain. The agreement, concluded in Zurich, included a clause that subjected the contract to Swiss law and designated Zurich as the place of jurisdiction. The Swiss resident later sought to withdraw from the contract, leading to a dispute over the validity of the agreement, particularly concerning the applicable law and the formal requirements for real estate contracts involving foreign property.;"Contract law provisions applied since the PILA did not exist at the time: 
Art. 216 para. 2 CO,
Art. 24 para. 1 CO,
Art. 82 CO,
Art. 107 et seq. CO";Party autonomy, Freedom of choice;What are the consequences when the parties choose a law that invalidates the main contract? Can an implicit choice of law in favor of a law under which the contract is valid heal the contract? Is it permissible to subject the formal requirements of a contract to a different law than its subject matter?;It is possible to subject the formal requirements of a contract to a different law than its subject matter. However, the choice of law is only valid with regard to form if the parties neither circumvent mandatory provisions in an inadmissible manner nor violate public policy.
Federal Court 3.08.2022 - 4A_559/2022  ;Switzerland;The Supreme Court was asked to determine which law governs the interpretation of choice of law clauses and whether the scope of such an agreement includes the right of creditors to obtain information from the registry about a debtor's financial situation in the event of future debt enforcement. The court concluded that the law applicable to the contract should be applied to determine the scope of the jurisdiction clauses. Since, under the applicable law, jurisdiction clauses do not cover the right of creditors to obtain information from the registry, the Swiss conflict of laws rules (i.e. PIL-rules) should be applied to resolve the dispute. ;"The parties, an insurance company (domiciled in Peru) and a reinsurance company (domiciled in Switzerland), had agreed to apply Peruvian law and the exclusive jurisdiction of Peruvian judges to a contract entered into between them. Due to a disagreement between the parties, legal proceedings were initiated in the agreed forum. However, in the midst of this process, the Peruvian company decided to file a lawsuit in the Swiss courts to obtain access to the most recent annual report and audit report in order to determine the company's financial position in the event of future debt enforcement. The Swiss judge granted the request. In a civil appeal, the Swiss company asked the Swiss Federal Supreme Court to overrule the commercial court's decision on the grounds of the court's lack of jurisdiction and to dismiss the Peruvian company's request.
The Swiss Supreme Court rejected the appeal. According to the court, the law applicable to the contract governs the interpretation of the jurisdiction clause, including its scope. The question of whether the right of access to financial information is included in the jurisdiction clause must then be determined under Peruvian law. Under Peruvian law, the jurisdiction clause does not apply to the request for access to the most recent annual report and audit report. Swiss conflict-of-law rules should also apply to determine the jurisdiction of the Swiss courts and the applicable law, as neither the choice of law nor the jurisdiction clause covers this issue. Finally, it concluded that the Swiss courts had jurisdiction and that Swiss law should be applied to resolve the dispute. ";Art. 5 PILA;;Which law governs the interpretation of jurisdiction clauses? What law governs the question of whether a choice of court agreement includes the right of creditors to obtain information from the Swiss register about the debtor's financial situation?;The lex causae, i.e. the law applicable to the main contract, governs the interpretation of the choice of court clauses contained therein. This law should also be applied to resolve the question of whether a choice of court clause includes the right of creditors to obtain information on the debtor's financial situation from the Swiss register.  
Federal Court, 16.10.2012 - BGE 138 III 750;Switzerland;"Foreign domestic worker employed by a foreign state in the service of the head of a permanent mission; employer's declaration of guarantee vis-à-vis Switzerland; choice of law in favor of foreign law (Art. 342 para. 2 CO (Code des obligations/Code of Obligations); Art. 18 PILA).
By signing the declaration of guarantee, the foreign state has undertaken vis-à-vis Switzerland to comply with the wage and working conditions applicable to a domestic worker employed in Geneva. Pursuant to Art. 342 para. 2 CO, this obligation under public law has civil law effects in that the domestic worker can invoke it before the civil court (Rec. 2.3 and 2.4). Since Art. 342 para. 2 CO is a directly applicable provision within the meaning of Art. 18 IPRG, the foreign law chosen by the parties takes precedence over the applicable Swiss law (Rec. 2.5).";"Z., a Chilean national, was employed by the Permanent Mission of the Republic of Chile to the World Trade Organization (WTO) in Geneva. She signed an employment contract governed by Chilean labor law. After the termination of Z. contract, disputes arose regarding her salary, overtime compensation, and vacation entitlement. Z. brought an action before the Tribunal des prud'hommes du canton de Genève, claiming for compensation. The Republic of Chile raised the plea of immunity from jurisdiction, which was rejected. The Labour Court of Geneva then ordered the Republic of Chile to pay Z. a compensation sum with interest. Both parties appealed to the Chambre des prud'hommes of the Geneva Court of Justice, which set aside the first-instance judgment (for reasons of clarity), accepted its jurisdiction by reason of location, rejected the plea of immunity from jurisdiction and reserved the question of the law applicable to the merits until the entry into force of the incidental judgment on the question of immunity.
The Republic of Chile lodged an appeal in civil matters which was rejected by the Federal supreme court.";Art. 18 PILA;Overriding mandatory rules;Do mandatory rules of Swiss law prevail over the application of the provisions of a foreign law chosen by the parties?;If a mandatory rule of Swiss law is a directly applicable provision within the meanning of Art. 18 PILA, the applicable Swiss law prevails over the foreign law chosen by the parties.
Federal Court, 23.09.2008 - BGer 4A_264/2008;Switzerland;Recovery of the claim of the partner against the bankrupt estate of the dissolved general partnership. Appeal against the decision of the Civil Division of the Geneva Court of Justice of April 18, 2008.;"The Court is called upon to determine the law applicable to a dispute concerning compensation of obligations. The case involved a person who had given a guarantee for a loan granted to a company. The amount of the guarantee exceeded the amount of the credit. However, when the guarantee was executed in favor of the creditor, he decided to send the excess amount to the insolvency administrator, as the company was in insolvency proceedings at the time.  The liquidator refused to release the money to the guarantor because he – the guarantor – owed the company money. As the guarantor was domiciled in Spain, the first issue to be resolved was the law applicable to the case. 
According to the court, it was not necessary to discuss in detail the question of the law applicable to the dispute. Since the question of the applicable law was never raised between the parties, they assumed that the applicable law was Swiss law, which could be assumed to be the law chosen by the parties. In the decision, the court also mentions that according to Art. 148 PILA, in the case of a set-off, the extinguishment is governed by the law of the claim the repayment of which is the purpose of the set-off. Since the law governing the principal obligation was Swiss law, this law will also govern the terms of the settlement. ";"Art. 116 PILA,
Art. 148 PILA";Party autonomy, Tacit choice;Can a choice of law be made tacitly? If so, what elements are relevant to determine whether a tacit choice of law agreement has been made? In the absence of a choice of law, which law applies the compensation of obligations?;A choice of law agreement can only be inferred if the parties were aware that the question of applicable law had arisen. However, if both parties invoke the same law in the proceedings, their conduct may be considered to reflect a conscious but implicit choice of law. In the event of extinction by set-off, the applicable law is that governing the claim against which set-off is asserted – unless a choice has been made.
Federal Court, 29.05.2012 - BGE 138 III 489;Switzerland;"Art. 19 and 95 PILA; statute governing inheritance contracts and foreign prohibition of inheritance contracts.
The law applicable to the contract of inheritance is the law of the domicile of the testator or of the testator at the time of the conclusion of the contract and not at the time of death (E. 3). In the case under review, it cannot be assumed that the Brazilian prohibition on inheritance contracts is mandatory and thus renders the inheritance contract validly concluded under Swiss law null and void (E. 4).
";X. and Y. married in 1958 in São Paulo, Brazil. Their marriage remained childless. On November 11, 1992, the spouses X. and Y. had an inheritance contract notarized at their domicile in Appenzell, in which they appointed each other as sole heirs to their entire estate. In the event that each spouse survived the other, each appointed the siblings and their descendants as heirs in equal shares, i.e. one quarter to the children of brother A. of Y. and one quarter each to the children of the two sisters B. and C. and brother D. of X. (item II/2). (No. II/2). The spouses declared that Swiss law should apply to the estate of both spouses (para. III of the inheritance agreement). On June 10, 2003, X. died in France. He was a Brazilian and German national. Y. drew up testamentary dispositions on January 5, 2005 in Paris, on February 2, 2005 in Paris and on April 20, 2005 in São Paulo and appointed the two children of her brother A. as her universal legal successors. She gave them real estate in Paris on February 1, 2005 and real estate in São Paulo on October 28, 2005. On November 19, 2005, Y. (testatrix) died in São Paulo. She was a Brazilian national. In a complaint dated February 8, 2007, the children of the siblings B., C. and D. of X. (respondent) requested that the testamentary dispositions and the gifts of the testatrix be declared invalid, possibly reduced, insofar as the inheritance contract between the testatrix and her predeceased husband was thereby violated. The children of the testatrix's brother A. (appellants) decided to dismiss the action. The District Court Appenzell dismissed the action. On appeal by the respondents, the Cantonal Court of Appenzell Innerrhoden set aside the testamentary dispositions of the testatrix dated January 5, 2005, February 2, 2005 and April 20, 2005, insofar as the respondents' status as heirs to a total of ¾ of the testatrix's estate located in Switzerland was thereby infringed. The appellants request the Federal Supreme Court to dismiss the respondents' claim. The Federal Supreme Court dismisses the appeal insofar as it upholds it.;Art. 19 PILA;Overriding mandatory rules;Can foreign mandatory rules be taken into account or even override the provisions that are referred to by the conflict of law norms, when evaluating international cases?;"Mandatory rules of a foreign legal system may be applied, provided that three conditions are met.
First, the provisions of the third country must be internationally mandatory.
Second, there must also be a close connection between the facts of the case and the legal system to which the standards intended to be applied belong.
Third, the interests of the party benefiting from the application of foreign mandatory rules must be worthy of protection and obviously overriding."
"Federal Court, 26.10.2021 - 4A_133/2021; 4A_135/2021 ";Switzerland;In the present case, the Court must determine whether foreign rules on the capacity of companies contravene public policy. Under foreign law, the new registration of a deregistered company has the effect of retroactively restoring its legal personality. Finally, the Court held that this rule was not contrary to public policy.;"In the present case, creditors of a bankrupt company sue the directors for wrongful determination of the company's financial statements. Both the first and second instance courts confirm the liability of at least one of the directors. This director decides to file an appeal to the federal court claiming that one of the creditors did not have legal capacity to file the lawsuit as it had lost its registration before the proceedings were initiated in Switzerland. This creditor is domiciled in England. Under English law, a re-registration of a company that had previously been struck off the register has the effect of reinstatement of its legal personality retroactively and automatically. The appellant however argued that this English law should not be applied to the case as it contravened public policy. 
The Federal Court finally dismissed this point of the claim. According to the court, English law, although different from Swiss law, does not contravene public policy with regard to the retroactive reinstatement of the legal capacity of legal entities.";"Art. 17 PILA,
Art. 18 PILA,
Art. 154 PILA,
Art. 155 PILA";Public policy;Should a law providing that the re-registration of a deregistered company results in the retroactive restoration of its legal personality be regarded as contrary to public policy?;A law providing that the re-registration of a deregistered company results in the retroactive restoration of its legal personality is not contrary to Swiss public policy. 
Federal Court, 11.09.2006 - BGer 4C.168/2006;Switzerland;In this case, it is disputed whether a preliminary agreement - not signed by the parties - should be taken into account in determining whether there was an implied agreement between the parties as to the applicable law. The court considers such an agreement and concludes that there is sufficient evidence to confirm the existence of a tacit choice of law agreement.;"Y. Ltd. (plaintiff) transferred CHF 300,000 to a corresponding blocked account at Bank B. with a view to a capital increase for the restructuring of X. AG. The plaintiff and X.AG contractually stipulated that the plaintiff would make CHF 300,000 available for the capital increase and that this amount was to be understood in all respects as a loan to X. (defendant).
Subsequently, the plaintiff brought an action against the defendant before the Local Court of Lucerne and demanded a partial amount of CHF 50,000 of the CHF 300,000 under the legal title of (partial) repayment of the loan. The Local Court and, on appeal by the defendant, the High Court of the Canton of Lucerne upheld the claim.
Later the plaintiff filed a new action against the defendant with the Local Court of Lucerne-City and demanded payment of the remaining amount of the loan claim of CHF 250,000. The defendant applied for the claim to be dismissed insofar as it should be upheld. He argued that it was not true that the plaintiff had granted him a loan. Rather, she had handed over CHF 300,000 to X. AG so that he could take a fiduciary interest in X. AG on her behalf.
The district court upheld the claim and the defendant appealed against this to the High Court of the Canton of Lucerne. The court dismissed the appeal and again the defendant filed a federal appeal to the Federal Supreme Court. The defendant argued that the previous courts had applied the false rules of law (Swiss instead of English law).
In its judgment the Federal Supreme Court dismissed the constitutional appeal as well as the civil appeal brought by the defendant.";Art. 116 PILA;Party autonomy, Tacit choice;Can a choice of law be made through implied actions? What are the criteria employed to assess a tacit choice of law?;A choice of law must be explicit or must be clearly revealed from the contract or from the circumstances surrounding it. The acceptance of a choice of law contract presupposes that the parties were aware of the conflict of laws and wished to express a corresponding choice of law (intention to do so). If the choice of law results from a normative commitment, an additional objectively sufficiently conclusive, express or implicit declaration of intent is also required, which the recipient understood unambiguously in accordance with the principle of good faith. This can also be seen in the fact that a party expressly refers to provisions or institutes of a specific law. Whether a tacit choice of law exists is to be determined in the individual case on the basis of an assessment of the available evidence.
Federal Court, 20.08.1996 - BGE 123 III 35;Switzerland;"Private international law; consensus and interpretation of a referral contract; counterclaim and jurisdiction.
In the present case, the question of whether a referral contract has been concluded is to be assessed according to traditional law, which leads to the application of the lex fori (E. 2a). Rules of interpretation, relevant contractual basis and choice of law based on normative obligation (E. 2b-d).
The exclusive jurisdiction agreement for a claim asserted with a counterclaim derogates from the statutory counterclaim jurisdiction. An unconditional submission pursuant to Art. 6 PILA is possible for the counterclaim (E. 3).";The plaintiffs (B AG and F GmbH) and A AG (defendant)were involved in a construction project which, however, led to differences. A AG was excluded from the joint venture. Legal disputes arose, including a claim for payment of DM 2,000,000 against the defendant, which in this case was Z AG as A AG's insurer. The Commercial Court in Zurich ruled in favor of the plaintiffs, but dismissed the counterclaim. The defendant lodged an appeal for annulment, which was dismissed. In Germany, A. AG was sued for damages, with the plaintiffs being awarded DM 3,000,000. The counterclaim of A. AG and the defendant was dismissed. The defendant lodged a federal appeal against the judgment of the Commercial Court of Zurich, but this was rejected by the Federal Supreme Court.;"Art. 5 PILA,
Art. 6 PILA,
Art. 8 PILA";Party autonomy, Tacit choice;What are the requirements for a valid choice of law? Must the choice of law fulfill specific formal requirements?;A choice of law has to be sufficiently conclusive from an objective perspective. An express or implied declaration of intent is required, which the recipient must unambiguously understand to be connected to the choice of law. It can be sufficient when a party expressly refers to provisions or institutes of a specific law, and the other party does not oppose it.
Federal Court, 04.12.2009 - BGer 4A_394/2009;Switzerland;The Court was asked to determine whether the parties had tacitly chosen the applicable law by referring to it in the proceedings. It finally concluded that there had been an implicit choice of law.;H.X., a wealthy individual with an estimated fortune of $500 million, was advised and befriended by Z., a Geneva-based lawyer, H.X. and Z. opened a joint bank account in Geneva. H.X. transferred $1 million to this account, which Z. later transferred to his personal account, claiming it was a gift from H.X.. Following a deterioration in their relationship, H.X. terminated Z.'s mandates and demanded an accounting of his finances. After H.X.'s death in 2005, the executors of his estate, sued Z. to recover the $1 million, disputing the validity of the alleged donation. The lower courts upheld the validity of the donation, leading to the appeal to the Federal Supreme Court.;"Art. 116 PILA,
Art. 117 PILA";Party autonomy, Tacit choice;Can a choice of law be made implicitly by referring to a certain law throughout the court proceedings?;The court determined that Swiss law was applicable, as both parties had implicitly chosen it by exclusively referring to it throughout the proceedings. Therefore, a tacit choice of law can be made by continuous reference to a law.
